trip_id,arrival_time,departure_time,stop_id,stop_sequence
3552,8:46:11,8:46:35,10034,1
3552,8:49:41,8:49:48,10035,2
3552,8:51:53,8:52:07,10036,3
3552,8:52:17,8:52:41,10037,4
3552,8:57:48,8:57:59,10038,5
3552,9:00:54,9:00:54,10039,6
3553,9:00:54,9:00:54,10046,1
3553,9:04:18,9:04:31,10040,2
3553,9:07:19,9:07:53,10041,3
3553,9:10:51,9:11:05,10042,4
3553,9:15:45,9:16:06,37890904,5
3553,9:17:12,9:17:31,38040478,6
3553,9:18:06,9:18:12,10045,7
37837559,6:45:43,6:55:12,37837560,1
37837559,7:01:41,7:01:48,37837561,2
37837559,7:04:16,7:04:24,37837562,3
37837559,7:08:35,7:08:46,37837563,4
37837559,7:09:40,7:09:54,37837564,5
37837559,7:10:32,7:10:37,37837565,6
37837559,7:11:19,7:11:26,37837566,7
37837559,7:14:25,7:14:30,37837567,8
37837559,7:15:16,7:15:25,37837568,9
37837559,7:15:35,7:15:39,37837569,10
37838137,7:16:00,7:16:24,38019856,1
37838137,7:17:04,7:17:08,37858938,2
37838137,7:18:04,7:18:32,37838140,3
37838137,7:39:49,7:39:53,37838141,4
37838137,7:42:54,7:43:02,37838142,5
37838137,7:45:02,7:45:11,37838143,6
37838137,7:46:16,7:46:21,37845147,7
37840809,10:48:02,10:58:20,37937364,1
37840809,11:07:45,11:08:20,37840811,2
37840809,11:09:10,11:09:26,37840812,3
37840809,11:11:17,11:11:32,37840813,4
37840809,11:14:05,11:14:11,37840814,5
37841698,11:14:26,11:14:42,37841699,1
37841698,11:18:44,11:26:18,37847427,2
37841698,11:36:45,11:37:06,37841701,3
37841698,11:45:14,11:45:21,37841701,4
37841698,11:47:56,11:48:09,37841703,5
37841698,11:52:52,11:53:12,37841704,6
37841698,11:57:23,11:57:30,37987947,7
37841698,11:58:44,11:58:52,37838141,8
37841698,12:04:41,12:04:58,37845147,9
37843894,15:13:35,15:19:44,37843895,1
37843894,15:20:03,15:20:22,37843895,2
37843894,15:21:55,15:22:39,37877385,3
37843894,15:23:34,15:23:53,37841703,4
37843894,15:25:11,15:25:18,37843899,5
37843894,15:26:49,15:26:54,37843900,6
37843894,15:29:32,15:29:53,37843901,7
37843894,15:31:40,15:32:45,38145627,8
37843894,15:35:23,15:35:57,37843903,9
37843894,15:37:15,15:37:27,38018140,10
37844399,15:38:20,15:38:28,37844400,1
37844399,15:45:03,15:45:19,37844401,2
37844399,15:53:09,15:53:16,37847431,3
37845146,10:16:43,10:17:48,37845147,1
37845146,10:24:53,10:25:18,37845148,2
37845146,10:26:28,10:26:38,37902746,3
37845146,10:28:13,10:28:33,37840811,4
37845146,10:30:58,10:31:18,37838140,5
37845146,10:34:53,10:35:03,37845403,6
37845397,7:11:28,7:14:53,37837560,1
37845397,7:27:03,7:27:13,37875922,2
37845397,7:28:18,7:28:33,37902746,3
37845397,7:29:18,7:29:28,37845401,4
37845397,7:30:43,7:30:58,37840811,5
37845397,7:33:08,7:33:18,37845403,6
37845397,7:34:53,7:35:13,37845404,7
37845397,7:36:08,7:36:13,37845405,8
37845397,7:37:23,7:37:28,37845406,9
37845624,7:38:28,7:38:38,37845625,1
37845624,7:58:38,7:58:43,37845626,2
37845624,8:02:23,8:02:28,37845627,3
37846209,10:59:30,10:59:40,38019854,1
37846209,11:18:40,11:18:50,37845147,2
37847423,16:07:25,16:13:16,37837560,1
37847423,16:23:56,16:24:06,37847425,2
37847423,16:28:11,16:28:26,37845401,3
37847423,16:29:26,16:29:36,37847427,4
37847423,16:30:16,16:30:31,37847428,5
37847423,16:31:56,16:32:06,37838140,6
37847423,16:34:21,16:34:46,37837567,7
37847423,16:36:41,16:36:56,37847431,8
37847423,16:38:46,16:38:56,37847432,9
37847535,16:43:54,16:44:09,37845401,1
37847535,16:53:04,16:53:14,37847537,2
37852501,13:30:41,13:32:26,37852502,1
37852501,13:37:15,13:37:23,37852503,2
37852501,13:39:10,13:39:26,37852504,3
37852501,13:40:01,13:40:13,37873242,4
37852501,13:41:05,13:41:30,37852506,5
37852501,13:41:38,13:41:51,37852507,6
37852501,13:42:36,13:42:46,37852508,7
37852501,13:43:15,13:43:24,37936388,8
37852501,13:43:53,13:44:12,37852510,9
