stop_id,stop_name,stop_lat,stop_lon
37857512,2_Somerset West Square SC,-34.085009,18.850364
37879874,12_Somerset West Square SC,-34.084703,18.851723
37858088,13_Somerset West Square SC,-34.084607,18.851652
37857806,1_Somerset West Square SC,-34.084512,18.851732
37856843,17_Somerset West Square SC,-34.084452,18.851496
37856719,15_Somerset West Square SC,-34.084391,18.851656
37901740,7_Somerset West Square SC,-34.084270,18.851381
37875060,8_Somerset West Square SC,-34.084211,18.851596
37855630,9_Somerset West Square SC,-34.084193,18.851484
37899450,16_Somerset West Square SC,-34.084140,18.851636
37855895,11_Somerset West Square SC,-34.084083,18.851658
37855973,1_Somerset Taxi Rank,-34.084077,18.853936
37856621,3_Somerset West Square SC,-34.083985,18.851202
37900652,10_Somerset West Square SC,-34.083979,18.851331
37878085,4_Somerset West Square SC,-34.083767,18.851180
37897019,5_Somerset West Square SC,-34.083728,18.851028
37879084,1_Caledon Str,-34.083526,18.852696
37878775,6_Somerset West Square SC,-34.083306,18.850855
37900651,14_Somerset West Square SC,-34.083178,18.850743
37858419,1_Somerset West KFC,-34.082463,18.850127
37856718,1_Somerset West Mr Price,-34.080295,18.848432
37857805,1_Somerset West Main Road,-34.079206,18.847813
37857374,2_Somerset West Main Road,-34.078950,18.847700
37856717,2_Somerset West Police Station,-34.076056,18.844643
37856716,1_Shofar Somerset West,-34.075130,18.841570
37878084,1_Ocean View Rd,-34.074319,18.839199
37857373,2_Ocean View Rd,-34.074231,18.838968
37878083,4_Main Rd,-34.071992,18.832611
37878082,3_Main Rd,-34.071561,18.831252
37856715,1_Heidelberg College Rd,-34.070983,18.829660
37857804,2_Heidelberg College Rd,-34.070827,18.829207
37858418,3_Heidelberg College Rd,-34.070721,18.828909
37857803,5_Main Rd,-34.070250,18.827634
37878081,6_Main Rd,-34.070002,18.827025
37856844,1_Main Rd,-34.069940,18.826601
37855629,2_Main Rd,-34.069355,18.825490
37878080,1_NH Hotel,-34.068856,18.825709
37879085,2_NH Hotel,-34.068534,18.825655
37878079,1_Broadway Boulevard,-34.066411,18.826818
37898195,2_Broadway Boulevard,-34.066257,18.826891
37878078,1_Helena Heights,-34.057247,18.829762
37857802,2_Firgrove,-34.051587,18.828469
37879086,3_Firgrove,-34.051581,18.828292
37899451,4_Firgrove,-34.051308,18.828212
37857372,5_Firgrove,-34.051282,18.828387
37900650,1_Firgrove,-34.050132,18.827892
37878077,1_Pepperwood Estate,-34.046349,18.825858
37879875,2_Pepperwood Estate,-34.045658,18.825410
37878076,1_R44,-34.042593,18.824781
37874731,1_Klein Helderbergpad Rd,-34.040525,18.824266
37874732,1_Bredell Pad Road,-34.037178,18.823859
37901741,33_Broadway Boulevard,-34.035917,18.823699
37898194,1_Chefs Farm,-34.034808,18.823805
37897021,34_Broadway Boulevard,-34.033526,18.823358
37899452,35_Broadway Boulevard,-34.033451,18.823336
37855972,36_Broadway Boulevard,-34.032695,18.823296
37855628,2_R44,-34.031074,18.822418
37875058,1_Cordoba Rd,-34.030440,18.821962
37901743,2_Cordoba Rd,-34.030409,18.821700
37855627,1_Winery Rd,-34.025172,18.820285
37879087,37_Broadway Boulevard,-34.024812,18.820045
37874733,38_Broadway Boulevard,-34.024578,18.820058
37856845,5_Broadway Boulevard,-34.018552,18.820373
37857371,6_Broadway Boulevard,-34.017538,18.820740
37856846,7_Broadway Boulevard,-34.014946,18.820889
37858417,3_Eikendal Rd,-34.014499,18.821205
37857370,1_Eikendal Rd,-34.014273,18.821265
37858089,2_Eikendal Rd,-34.014192,18.821035
37897022,4_Eikendal Rd,-34.013910,18.821110
37880244,8_Broadway Boulevard,-34.007460,18.823171
37875057,9_Broadway Boulevard,-34.006993,18.823303
37874734,10_Broadway Boulevard,-34.006767,18.823103
37856847,11_Broadway Boulevard,-34.005719,18.823394
37855626,12_Broadway Boulevard,-34.005176,18.823816
38146717,1_Haskell Vineyards,-34.004410,18.860256
38146910,2_Haskell Vineyards,-34.004301,18.859615
37858416,13_Broadway Boulevard,-34.002533,18.824556
37880243,14_Broadway Boulevard,-34.000905,18.825060
37879876,15_Broadway Boulevard,-34.000356,18.824987
37898193,16_Broadway Boulevard,-33.999177,18.825580
37879877,17_Broadway Boulevard,-33.998564,18.825567
37875056,18_Broadway Boulevard,-33.998258,18.825863
37880242,19_Broadway Boulevard,-33.998016,18.825938
37855625,4_Broadway Boulevard,-33.996924,18.826275
37899453,20_Broadway Boulevard,-33.996899,18.826072
37879088,21_Broadway Boulevard,-33.996389,18.826206
37898192,22_Broadway Boulevard,-33.995368,18.826727
37855971,23_Broadway Boulevard,-33.993618,18.826961
37899454,3_Broadway Boulevard,-33.992718,18.826731
37858415,2_Audacia,-33.992710,18.826955
37857272,24_Broadway Boulevard,-33.989611,18.827372
37898191,1_Stellenbosch District Riding Club,-33.988423,18.828417
37857800,2_Stellenbosch District Riding Club,-33.988197,18.828593
37880241,3_Stellenbosch District Riding Club,-33.987322,18.829527
37857273,4_Stellenbosch District Riding Club,-33.987045,18.829509
37856622,5_Stellenbosch District Riding Club,-33.986808,18.829846
37879878,6_Stellenbosch District Riding Club,-33.986607,18.830142
37855624,1_Zimzala K9 Estate,-33.985535,18.832868
37855896,2_Zimzala K9 Estate,-33.985375,18.832716
37855623,3_Zimzala K9 Estate,-33.985282,18.833441
37857274,1_Val De Vine,-33.984015,18.835318
37875055,2_Val De Vine,-33.983940,18.835796
37855622,3_Val De Vine,-33.983810,18.835991
37858090,4_Val De Vine,-33.983648,18.835834
37899455,5_Val De Vine,-33.983534,18.835994
38146125,1_Sneeuberg Street,-33.983239,18.842176
37855897,6_Val De Vine,-33.982753,18.837047
37921723,9_Torrey Str,-33.982740,18.852755
37902194,10_Festival Str,-33.982544,18.852275
37856623,7_Val De Vine,-33.982494,18.837374
37962438,7_Torrey Str,-33.982464,18.852949
38030104,8_Torrey Str,-33.982411,18.852986
37930518,11_Festival Str,-33.982333,18.851757
37956475,10_Torrey Str,-33.982277,18.853080
37991674,11_Torrey Str,-33.982179,18.853149
37858939,8_Festival Str,-33.982177,18.851376
37847431,12_Torrey Str,-33.982127,18.853186
37840814,1_School Rd,-33.982041,18.848480
37987938,13_Torrey Str,-33.982016,18.853261
37921724,9_Festival Str,-33.981993,18.851042
38076655,3_Helderberg Str,-33.981929,18.842709
37841699,5_School Rd,-33.981900,18.847902
37859495,5_Festival Str,-33.981879,18.850844
37837569,6_Festival Str,-33.981846,18.850786
38144664,3_Torrey Str,-33.981683,18.853488
38019857,7_Festival Str,-33.981674,18.850485
38141911,4_Helderberg Str,-33.981582,18.842997
37863334,4_Torrey Str,-33.981564,18.853569
38019858,5_Torrey Str,-33.981478,18.853620
37837568,4_Festival Str,-33.981427,18.850004
37902751,15_Torrey Str,-33.981410,18.853660
37875054,25_Broadway Boulevard,-33.981340,18.838758
38076656,1_Helderberg Str,-33.981275,18.843277
37901949,16_Torrey Str,-33.981252,18.853754
37926837,14_Torrey Str,-33.981187,18.853057
38079974,17_Torrey Str,-33.981180,18.853797
37845625,2_Helderberg Str,-33.981131,18.843287
37857275,26_Broadway Boulevard,-33.981126,18.838687
37881624,5_Helderberg Str,-33.980951,18.843171
38019856,3_Festival Str,-33.980940,18.849055
37857513,27_Broadway Boulevard,-33.980900,18.838853
37930520,18_Torrey Str,-33.980887,18.853971
38031324,6_Helderberg Str,-33.980832,18.842658
38144665,2_Torrey Str,-33.980826,18.854012
38141681,12_Festival Str,-33.980820,18.848820
38079971,7_Helderberg Str,-33.980772,18.842580
37845404,1_Festival Str,-33.980722,18.848629
37845406,8_Helderberg Str,-33.980699,18.842570
37845403,6_Torrey Str,-33.980624,18.854150
37838140,3_School Rd,-33.980600,18.842582
38144443,8_Webersvallei Rd,-33.980599,18.855123
37877196,2_Festival Str,-33.980588,18.848361
37840813,4_School Rd,-33.980571,18.842441
37837567,14_Festival Str,-33.980545,18.848275
38144662,2_School Rd,-33.980512,18.842152
37875260,15_Festival Str,-33.980505,18.848203
38017170,16_Festival Str,-33.980459,18.848119
37875926,40_Stellenbosch Square,-33.980397,18.841583
37930517,13_Festival Str,-33.980384,18.847980
38019854,41_Stellenbosch Square,-33.980377,18.841486
38012950,42_Stellenbosch Square,-33.980362,18.841406
37855898,28_Broadway Boulevard,-33.980351,18.839259
38031941,9_Webersvallei Rd,-33.980337,18.854704
38144305,10_Webersvallei Rd,-33.980296,18.854675
38013434,43_Stellenbosch Square,-33.980281,18.840861
38031322,1_Torrey Str,-33.980192,18.854415
37962433,1_Rovelle Crescent,-33.980190,18.842947
38017169,8_Parfaite Str,-33.980049,18.847640
37925849,9_Parfaite Str,-33.979987,18.847537
38144873,12_Webersvallei Rd,-33.979941,18.853584
37994639,11_Webersvallei Rd,-33.979910,18.853480
37837566,7_Stellenbosch Square,-33.979876,18.841807
37962435,6_Parfaite Str,-33.979849,18.847295
37862623,1_Pajaro Avenue,-33.979826,18.848853
37956474,13_Webersvallei Rd,-33.979730,18.852884
37902530,8_Stellenbosch Square,-33.979696,18.841942
37875929,2_Pajaro Avenue,-33.979614,18.849024
37875928,7_Parfaite Str,-33.979613,18.846879
37875927,4_Monterose Avenue,-33.979594,18.845173
37877194,5_Monterose Avenue,-33.979590,18.845070
37881625,6_Webersvallei Rd,-33.979579,18.852397
37845405,6_Monterose Avenue,-33.979572,18.845016
38030103,7_Webersvallei Rd,-33.979563,18.852344
37875481,7_Monterose Avenue,-33.979545,18.845255
37921726,2_Parfaite Str,-33.979541,18.846753
37987942,1_Blakemore Rd,-33.979459,18.843583
37863329,3_Pajaro Avenue,-33.979446,18.849160
37956479,8_Monterose Avenue,-33.979323,18.845438
37956480,1_Monterose Avenue,-33.979318,18.844540
37877195,4_Parfaite Str,-33.979302,18.846333
37991672,1_Parfaite Str,-33.979255,18.846243
38142420,2_Monterose Avenue,-33.979252,18.844418
37930515,5_Parfaite Str,-33.979224,18.846182
37962969,5_Webersvallei Rd,-33.979224,18.851248
37879879,32_Broadway Boulevard,-33.979212,18.840017
38076654,2_Webersvallei Rd,-33.979147,18.850997
37959570,3_Webersvallei Rd,-33.979125,18.850926
38029315,4_Webersvallei Rd,-33.979105,18.850862
37881626,1_Webersvallei Rd,-33.979067,18.850738
37858938,9_Monterose Avenue,-33.978988,18.845713
37930521,23_Webersvallei Rd,-33.978985,18.850461
37847432,24_Webersvallei Rd,-33.978961,18.850376
37931028,25_Webersvallei Rd,-33.978938,18.850300
38079970,3_Monterose Avenue,-33.978872,18.843718
38141680,22_Webersvallei Rd,-33.978847,18.849990
37902749,19_Webersvallei Rd,-33.978765,18.849711
37987288,20_Webersvallei Rd,-33.978676,18.849421
37959567,13_Stellenbosch Square,-33.978622,18.842831
37881621,3_Parfaite Str,-33.978602,18.845065
37921721,21_Webersvallei Rd,-33.978576,18.849097
37837565,14_Stellenbosch Square,-33.978453,18.843125
38079975,18_Webersvallei Rd,-33.978439,18.848522
38031320,15_Stellenbosch Square,-33.978262,18.843206
37880858,36_Stellenbosch Square,-33.977962,18.841864
37921720,16_Webersvallei Rd,-33.977899,18.847405
37992651,17_Webersvallei Rd,-33.977801,18.847223
37859497,12_Stellenbosch Square,-33.977758,18.843631
37881620,44_Stellenbosch Square,-33.977712,18.841427
37900648,29_Broadway Boulevard,-33.977605,18.841031
37955781,14_Webersvallei Rd,-33.977573,18.846794
37856848,30_Broadway Boulevard,-33.977571,18.840826
37858091,31_Broadway Boulevard,-33.977430,18.840888
37901947,15_Webersvallei Rd,-33.977396,18.846471
38018134,37_Stellenbosch Square,-33.977228,18.841524
37847428,27_Stellenbosch Square,-33.977000,18.844156
37837564,1_Stellenbosch Square,-33.976799,18.844315
38144304,1_Methodist Church Jamestown,-33.976695,18.845190
37840811,16_Stellenbosch Square,-33.976627,18.843622
38075877,17_Stellenbosch Square,-33.976581,18.843540
38012949,9_Stellenbosch Square,-33.976534,18.844526
37925847,18_Stellenbosch Square,-33.976532,18.843453
37855899,38_Stellenbosch Square,-33.976468,18.841249
37958748,19_Stellenbosch Square,-33.976462,18.843328
37840812,10_Stellenbosch Square,-33.976442,18.844599
37862622,20_Stellenbosch Square,-33.976430,18.843271
37841701,11_Stellenbosch Square,-33.976393,18.844638
38017167,28_Stellenbosch Square,-33.976357,18.843142
37857276,39_Stellenbosch Square,-33.976349,18.841294
38029314,2_Stellenbosch Square,-33.976300,18.843960
38142418,29_Stellenbosch Square,-33.976283,18.843010
37926842,3_Stellenbosch Square,-33.976226,18.844302
37955779,30_Stellenbosch Square,-33.976161,18.842942
37931029,4_Stellenbosch Square,-33.976151,18.844151
37847427,5_Stellenbosch Square,-33.976120,18.844089
37863330,6_Stellenbosch Square,-33.976073,18.843998
38146128,21_Stellenbosch Square,-33.976048,18.843950
37876621,22_Stellenbosch Square,-33.976040,18.843870
37921719,23_Stellenbosch Square,-33.975982,18.843821
37843895,24_Stellenbosch Square,-33.975875,18.843612
37962970,25_Stellenbosch Square,-33.975806,18.843479
37866651,26_Stellenbosch Square,-33.975749,18.843352
37900647,31_Stellenbosch Square,-33.975737,18.841800
38012947,32_Stellenbosch Square,-33.975633,18.843222
37887307,33_Stellenbosch Square,-33.975554,18.843005
37855900,35_Stellenbosch Square,-33.975534,18.841634
37837563,1_La Clemence Retirement Village,-33.975330,18.842620
37855621,34_Stellenbosch Square,-33.975239,18.841998
37845401,2_La Clemence Retirement Village,-33.975025,18.842080
37994640,8_La Clemence Retirement Village,-33.974959,18.841873
37926841,9_La Clemence Retirement Village,-33.974940,18.841795
38142417,3_La Clemence Retirement Village,-33.974924,18.842120
37931030,10_La Clemence Retirement Village,-33.974903,18.841895
38141678,4_La Clemence Retirement Village,-33.974847,18.842150
37866652,11_La Clemence Retirement Village,-33.974786,18.841940
38017166,5_La Clemence Retirement Village,-33.974766,18.842182
37877385,12_La Clemence Retirement Village,-33.974704,18.841972
37876622,13_La Clemence Retirement Village,-33.974655,18.841864
