route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
route1,weekdays,3552,Bergzicht,Bergzicht to Cloetesville,0,3552
route1,weekdays,3553,Bergzicht,Bergzicht to Cloetesville,1,3553
route2,weekdays,37837559,Bergzicht,Bergzicht to Jamestown,0,37837559
route2,weekdays,37838137,Bergzicht,Bergzicht to Jamestown,1,37838137
route2,weekdays,37840809,Bergzicht,Bergzicht to Jamestown,0,37840809
route2,weekdays,37841698,Bergzicht,Bergzicht to Jamestown,1,37841698
route2,weekdays,37843894,Bergzicht,Bergzicht to Jamestown,1,37843894
route2,weekdays,37844399,Bergzicht,Bergzicht to Jamestown,0,37844399
route2,weekdays,37845146,Bergzicht,Bergzicht to Jamestown,0,37845146
route2,weekdays,37845397,Bergzicht,Bergzicht to Jamestown,0,37845397
route2,weekdays,37845624,Bergzicht,Bergzicht to Jamestown,1,37845624
route2,weekdays,37846209,Bergzicht,Bergzicht to Jamestown,1,37846209
route2,weekdays,37847423,Bergzicht,Bergzicht to Jamestown,0,37847423
route2,weekdays,37847535,Bergzicht,Bergzicht to Jamestown,1,37847535
route1,weekdays,37852501,Bergzicht,Bergzicht to Cloetesville,0,37852501
route1,weekdays,37852918,Bergzicht,Bergzicht to Cloetesville,1,37852918
route1,weekdays,37853301,Bergzicht,Bergzicht to Cloetesville,0,37853301
route1,weekdays,37853618,Bergzicht,Bergzicht to Cloetesville,1,37853618
route3,weekdays,37855618,Bergzicht,Bergzicht to Somerset West,0,37855618
route3,weekdays,37855894,Bergzicht,Bergzicht to Somerset West,1,37855894
route3,weekdays,37855969,Bergzicht,Bergzicht to Somerset West,0,37855969
route3,weekdays,37856620,Bergzicht,Bergzicht to Somerset West,1,37856620
route3,weekdays,37856713,Bergzicht,Bergzicht to Somerset West,0,37856713
route3,weekdays,37856842,Bergzicht,Bergzicht to Somerset West,1,37856842
route3,weekdays,37857270,Bergzicht,Bergzicht to Somerset West,1,37857270
route3,weekdays,37857368,Bergzicht,Bergzicht to Somerset West,0,37857368
route3,weekdays,37857511,Bergzicht,Bergzicht to Somerset West,1,37857511
route3,weekdays,37857798,Bergzicht,Bergzicht to Somerset West,0,37857798
route3,weekdays,37858087,Bergzicht,Bergzicht to Somerset West,1,37858087
route3,weekdays,37858413,Bergzicht,Bergzicht to Somerset West,0,37858413
route2,weekdays,37858933,Bergzicht,Bergzicht to Jamestown,0,37858933
route2,weekdays,37859494,Bergzicht,Bergzicht to Jamestown,1,37859494
route2,weekdays,37862618,Bergzicht,Bergzicht to Jamestown,0,37862618
route2,weekdays,37863328,Bergzicht,Bergzicht to Jamestown,1,37863328
route2,weekdays,37866180,Bergzicht,Bergzicht to Jamestown,0,37866180
route2,weekdays,37866650,Bergzicht,Bergzicht to Jamestown,1,37866650
route1,weekdays,37869869,Bergzicht,Bergzicht to Cloetesville,1,37869869
route1,weekdays,37871313,Bergzicht,Bergzicht to Cloetesville,0,37871313
route1,weekdays,37872348,Bergzicht,Bergzicht to Cloetesville,0,37872348
route1,weekdays,37872909,Bergzicht,Bergzicht to Cloetesville,1,37872909
route1,weekdays,37873239,Bergzicht,Bergzicht to Cloetesville,0,37873239
route1,weekdays,37873689,Bergzicht,Bergzicht to Cloetesville,1,37873689
route3,weekdays,37874729,Bergzicht,Bergzicht to Somerset West,1,37874729
route3,weekdays,37875052,Bergzicht,Bergzicht to Somerset West,0,37875052
route2,weekdays,37875253,Bergzicht,Bergzicht to Jamestown,0,37875253
route2,weekdays,37875479,Bergzicht,Bergzicht to Jamestown,1,37875479
route2,weekdays,37875920,Bergzicht,Bergzicht to Jamestown,0,37875920
route2,weekdays,37876620,Bergzicht,Bergzicht to Jamestown,1,37876620
route2,weekdays,37877190,Bergzicht,Bergzicht to Jamestown,0,37877190
route2,weekdays,37877383,Bergzicht,Bergzicht to Jamestown,1,37877383
route3,weekdays,37878074,Bergzicht,Bergzicht to Somerset West,0,37878074
route3,weekdays,37878772,Bergzicht,Bergzicht to Somerset West,0,37878772
route3,weekdays,37879083,Bergzicht,Bergzicht to Somerset West,1,37879083
route3,weekdays,37879873,Bergzicht,Bergzicht to Somerset West,1,37879873
route3,weekdays,37880237,Bergzicht,Bergzicht to Somerset West,0,37880237
route2,saturdays,37880852,Bergzicht,Bergzicht to Jamestown,0,37880852
route2,saturdays,37881619,Bergzicht,Bergzicht to Jamestown,1,37881619
route2,saturdays,37883326,Bergzicht,Bergzicht to Jamestown,0,37883326
route2,saturdays,37887305,Bergzicht,Bergzicht to Jamestown,1,37887305
route1,saturdays,37890268,Bergzicht,Bergzicht to Cloetesville,0,37890268
route1,saturdays,37890899,Bergzicht,Bergzicht to Cloetesville,1,37890899
route1,saturdays,37892852,Bergzicht,Bergzicht to Cloetesville,0,37892852
route1,saturdays,37893282,Bergzicht,Bergzicht to Cloetesville,1,37893282
route1,saturdays,37896054,Bergzicht,Bergzicht to Cloetesville,0,37896054
route1,saturdays,37896415,Bergzicht,Bergzicht to Cloetesville,1,37896415
route3,saturdays,37897018,Bergzicht,Bergzicht to Somerset West,1,37897018
route3,saturdays,37898188,Bergzicht,Bergzicht to Somerset West,0,37898188
route3,saturdays,37899449,Bergzicht,Bergzicht to Somerset West,1,37899449
route3,saturdays,37900644,Bergzicht,Bergzicht to Somerset West,0,37900644
